Year,Player,Age,Tm,G
17805,2006,Chris Duhon,23,CHI,74
17806,2006,Tim Duncan,29,SAS,80
17807,2006,Mike Dunleavy,25,GSW,81
17808,2006,Ronald Dupree,25,MIN,36
17809,2006,John Edwards,24,ATL,40
17810,2006,Howard Eisley,33,TOT,32
17811,2006,Howard Eisley,33,LAC,13
17812,2006,Howard Eisley,33,DEN,19
17813,2006,Monta Ellis,20,GSW,49
17814,2006,Francisco Elson,29,DEN,72
17815,2006,Melvin Ely,27,CHA,57
17816,2006,Maurice Evans,27,DET,80
17817,2006,Reggie Evans,25,TOT,67
17818,2006,Reggie Evans,25,SEA,41
17819,2006,Reggie Evans,25,DEN,26
17820,2006,Daniel Ewing,22,LAC,66
17821,2006,Noel Felix,24,SEA,12
17822,2006,Raymond Felton,21,CHA,80
17823,2006,Michael Finley,32,SAS,77
17824,2006,Derek Fisher,31,GSW,82
17825,2006,Gerald Fitch,23,MIA,18
17826,2006,Marcus Fizer,27,NOK,3
17827,2006,Sharrod Ford,24,PHO,3
17828,2006,T.J. Ford,22,MIL,72
17829,2006,Danny Fortson,29,SEA,23
17830,2006,Jeff Foster,29,IND,63
17831,2006,Adonal Foyle,30,GSW,77
17832,2006,Richie Frahm,28,TOT,33
17833,2006,Richie Frahm,28,MIN,25
17834,2006,Richie Frahm,28,HOU,8
17835,2006,Steve Francis,28,TOT,70
17836,2006,Steve Francis,28,ORL,46
17837,2006,Steve Francis,28,NYK,24
17838,2006,Channing Frye,22,NYK,65
17839,2006,Dan Gadzuric,27,MIL,74
17840,2006,Deng Gai,23,PHI,2
17841,2006,Reece Gaines,25,MIL,12
17842,2006,Francisco Garcia,24,SAC,67
17843,2006,Kevin Garnett,29,MIN,76
17844,2006,Pat Garrity,29,ORL,57
17845,2006,Pau Gasol,25,MEM,80
17846,2006,Devean George,28,LAL,71
17847,2006,Eddie Gill,27,IND,41
17848,2006,Manu Ginobili,28,SAS,65
17849,2006,Gordan Giricek,28,UTA,37
17850,2006,Anthony Goldwire,34,LAC,3
17851,2006,Ryan Gomes,23,BOS,61
17852,2006,Drew Gooden,24,CLE,79
17853,2006,Ben Gordon,22,CHI,80
17854,2006,Joey Graham,23,TOR,80
17855,2006,Stephen Graham,23,TOT,22
17856,2006,Stephen Graham,23,HOU,6
17857,2006,Stephen Graham,23,CHI,3
17858,2006,Stephen Graham,23,CLE,13
17859,2006,Danny Granger,22,IND,78
